id|nct_id|result_group_id|ctgov_group_code|units|scope|count
171683|NCT01345721|1468704|B1|Participants|Overall|74
171684|NCT01345682|1468733|B3|Participants|Overall|483
171685|NCT01345682|1468734|B2|Participants|Overall|161
171686|NCT01345682|1468735|B1|Participants|Overall|322
171687|NCT01345630|1468768|B3|Participants|Overall|797
171688|NCT01345630|1468769|B2|Participants|Overall|401
171689|NCT01345630|1468770|B1|Participants|Overall|396
171690|NCT01345591|1468827|B1|Participants|Overall|20
171691|NCT01345318|1468836|B1|Participants|Overall|191
171692|NCT01345292|1468841|B4|Participants|Overall|226
171693|NCT01345292|1468842|B3|Participants|Overall|75
171694|NCT01345292|1468843|B2|Participants|Overall|76
171695|NCT01345292|1468844|B1|Participants|Overall|75
171696|NCT01345253|1468875|B3|Participants|Overall|677
171697|NCT01345253|1468876|B2|Participants|Overall|451
171698|NCT01345253|1468877|B1|Participants|Overall|226
171699|NCT01345240|1468892|B6|Participants|Overall|705
171700|NCT01345240|1468893|B5|Participants|Overall|139
171701|NCT01345240|1468894|B4|Participants|Overall|141
171702|NCT01345240|1468895|B3|Participants|Overall|141
171703|NCT01345240|1468896|B2|Participants|Overall|142
171704|NCT01345240|1468897|B1|Participants|Overall|142
171705|NCT01345162|1468994|B3|Participants|Overall|194
171706|NCT01345162|1468995|B2|Participants|Overall|96
171707|NCT01345162|1468996|B1|Participants|Overall|98
171708|NCT01345123|1469003|B4|Participants|Overall|9925
171709|NCT01345123|1469004|B3|Participants|Overall|3291
171710|NCT01345123|1469005|B2|Participants|Overall|3311
171711|NCT01345123|1469006|B1|Participants|Overall|3323
171712|NCT01345058|1469028|B3|Participants|Overall|56
171713|NCT01345058|1469029|B2|Participants|Overall|36
171714|NCT01345058|1469030|B1|Participants|Overall|20
171715|NCT01344876|1469045|B1|Participants|Overall|20
171716|NCT01344824|1469063|B1|Participants|Overall|38
171717|NCT01344759|1469069|B3|Participants|Overall|60
171718|NCT01344759|1469070|B2|Participants|Overall|30
171719|NCT01344759|1469071|B1|Participants|Overall|30
171720|NCT01344629|1469102|B3|Participants|Overall|64
171721|NCT01344629|1469103|B2|Participants|Overall|32
171722|NCT01344629|1469104|B1|Participants|Overall|32
171723|NCT01344616|1469123|B3|Participants|Overall|482
171724|NCT01344616|1469124|B2|Participants|Overall|238
171725|NCT01344616|1469125|B1|Participants|Overall|244
171726|NCT01344538|1469132|B3|Participants|Overall|33
171727|NCT01344538|1469133|B2|Participants|Overall|17
171728|NCT01344538|1469134|B1|Participants|Overall|16
171729|NCT01344460|1469141|B1|Participants|Overall|315
171730|NCT01344447|1469186|B1|Participants|Overall|479
171731|NCT01344369|1469228|B3|Participants|Overall|36
171732|NCT01344369|1469229|B2|Participants|Overall|18
171733|NCT01344369|1469230|B1|Participants|Overall|18
171734|NCT01344161|1469247|B3|Participants|Overall|77
171735|NCT01344161|1469248|B2|Participants|Overall|39
171736|NCT01344161|1469249|B1|Participants|Overall|38
171737|NCT01344057|1469262|B1|Participants|Overall|63
171738|NCT01343901|1469269|B1|Participants|Overall|205
171739|NCT01343888|1469290|B4|Participants|Overall|652
171740|NCT01343888|1469291|B3|Participants|Overall|132
171741|NCT01343888|1469292|B2|Participants|Overall|261
171742|NCT01343888|1469293|B1|Participants|Overall|259
171743|NCT01343823|1469333|B5|Participants|Overall|76
171744|NCT01343823|1469334|B4|Participants|Overall|18
171745|NCT01343823|1469335|B3|Participants|Overall|19
171746|NCT01343823|1469336|B2|Participants|Overall|19
171747|NCT01343823|1469337|B1|Participants|Overall|20
171748|NCT01343667|1469354|B3|Participants|Overall|1397
171749|NCT01343667|1469355|B2|Participants|Overall|972
171750|NCT01343667|1469356|B1|Participants|Overall|425
171751|NCT01343485|1469363|B3|Participants|Overall|365
171752|NCT01343485|1469364|B2|Participants|Overall|180
171753|NCT01343485|1469365|B1|Participants|Overall|185
171754|NCT01343368|1469372|B3|Participants|Overall|17
171755|NCT01343368|1469373|B2|Participants|Overall|10
171756|NCT01343368|1469374|B1|Participants|Overall|7
171757|NCT01343277|1469409|B3|Participants|Overall|577
171758|NCT01343277|1469410|B2|Participants|Overall|193
171759|NCT01343277|1469411|B1|Participants|Overall|384
171760|NCT01343251|1469428|B3|Participants|Overall|33
171761|NCT01343251|1469429|B2|Participants|Overall|17
171762|NCT01343251|1469430|B1|Participants|Overall|16
171763|NCT01343082|1469445|B1|Participants|Overall|136
171764|NCT01343056|1469451|B5|Participants|Overall|141
171765|NCT01343056|1469452|B4|Participants|Overall|38
171766|NCT01343056|1469453|B3|Participants|Overall|32
171767|NCT01343056|1469454|B2|Participants|Overall|36
171768|NCT01343056|1469455|B1|Participants|Overall|35
171769|NCT01343004|1469496|B4|Participants|Overall|2463
171770|NCT01343004|1469497|B3|Participants|Overall|818
171771|NCT01343004|1469498|B2|Participants|Overall|824
171772|NCT01343004|1469499|B1|Participants|Overall|821
171773|NCT01342965|1469524|B3|Participants|Overall|217
171774|NCT01342965|1469525|B2|Participants|Overall|107
171775|NCT01342965|1469526|B1|Participants|Overall|110
171776|NCT01342926|1469541|B5|Participants|Overall|191
171777|NCT01342926|1469542|B4|Participants|Overall|51
171778|NCT01342926|1469543|B3|Participants|Overall|48
171779|NCT01342926|1469544|B2|Participants|Overall|46
171780|NCT01342926|1469545|B1|Participants|Overall|46
171781|NCT01342913|1469626|B3|Participants|Overall|528
171782|NCT01342913|1469627|B2|Participants|Overall|266
171783|NCT01342913|1469628|B1|Participants|Overall|262
171784|NCT01342887|1469640|B1|Participants|Overall|6
171785|NCT01342770|1469647|B1|Participants|Overall|6
171786|NCT01342757|1469660|B1|Participants|Overall|12
171787|NCT01342666|1469665|B3|Participants|Overall|50
171788|NCT01342666|1469666|B2|Participants|Overall|24
171789|NCT01342666|1469667|B1|Participants|Overall|26
171790|NCT01342640|1469674|B1|Participants|Overall|70
171791|NCT01342549|1469680|B3|Participants|Overall|62
171792|NCT01342549|1469681|B2|Participants|Overall|31
171793|NCT01342549|1469682|B1|Participants|Overall|31
171794|NCT01342523|1469689|B33|Participants|Overall|1034
171795|NCT01342523|1469690|B32|Participants|Overall|28
171796|NCT01342523|1469691|B31|Participants|Overall|31
171797|NCT01342523|1469692|B30|Participants|Overall|29
171798|NCT01342523|1469693|B29|Participants|Overall|35
